player,pos,age,team,g,fg,threep,twop,reb,ast,pts,year,contract2020,predicted2020,differential
Enes Kanter,C,27,BOS,58,0.572,0.143,0.581,7.4,1,8.1,2019,5005350,"$8,961,250 ","($3,955,900)"
Eric Paschall,PF,23,GSW,60,0.417,0.231,0.55,4.6,2.1,14,2019,1517981,"$9,631,250 ","($8,113,269)"
Evan Fournier,SF,27,ORL,66,0.437,0.43,0.6,2.6,3.2,18.5,2019,17000000,"$19,262,500 ","($2,262,500)"
Fred VanVleet,PG,25,TOR,54,0.413,0.39,0.434,3.8,6.6,17.6,2019,21250000,"$20,602,500 ","$647,500 "
Furkan Korkmaz,SG,22,PHI,72,0.518,0.333,0.5,2.3,1.1,9.8,2019,1762796,"$5,100,000 ","($3,337,204)"
Garrett Temple,SG,33,BRK,62,0.378,0.278,0.473,3.5,2.5,10.3,2019,5000000,"$5,100,000 ","($100,000)"
Gary Trent Jr.,SF,21,POR,61,0.347,0.278,0.464,1.6,1,8.9,2019,1663861,"$5,300,000 ","($3,636,139)"
Giannis Antetokounmpo,PF,25,MIL,63,0.475,0.379,0.565,13.6,5.6,29.5,2019,27528088,"$28,750,000 ","($1,221,912)"
Glenn Robinson III,SF,26,GSW,62,0.425,0.333,0.519,4.4,1.5,11.7,2019,2028594,"$5,300,000 ","($3,271,406)"
Gordon Hayward,SF,29,BOS,52,0.5,0.383,0.554,6.7,4.1,17.5,2019,28500000,"$28,750,000 ","($250,000)"
Grayson Allen,SG,24,MEM,38,0.466,0.404,0.545,2.2,1.4,8.7,2019,2545320,"$8,961,250 ","($6,415,930)"
Hassan Whiteside,C,30,POR,67,0.491,0.352,0.368,13.5,1.2,15.5,2019,2320044,"$8,961,250 ","($6,641,206)"
Ish Smith,PG,31,WAS,68,0.447,0.367,0.473,3.2,4.9,10.9,2019,6146341,"$10,301,250 ","($4,154,909)"
J.J. Redick,SG,35,NOP,60,0.423,0.358,0.571,2.5,2,15.3,2019,13013700,"$5,100,000 ","$7,913,700 "
Ja Morant,PG,20,MEM,67,0.477,0.335,0.511,3.9,7.3,17.8,2019,9166800,"$20,602,500 ","($11,435,700)"
Jabari Parker,PF,24,ATL,38,0.411,0.32,0.5,5.6,1.8,14,2019,6500000,"$5,300,000 ","$1,200,000 "
Jae Crowder,SF,29,MIA,20,0.385,0.364,0.543,5.4,1.8,11.9,2019,9258000,"$9,631,250 ","($373,250)"
James Harden,SG,30,HOU,68,0.369,0.2,0.556,6.6,7.5,34.3,2019,40824000,"$19,262,500 ","$21,561,500 "
Jarrett Allen,C,21,BRK,70,0.649,0.388,0.658,9.6,1.6,11.1,2019,3909902,"$17,922,500 ","($14,012,598)"
Jayson Tatum,PF,21,BOS,66,0.45,0.403,0.48,7,3,23.4,2019,9897120,"$19,262,500 ","($9,365,380)"
Jeff Teague,PG,31,MIN,59,0.412,0.2,0.565,2.4,5.2,10.9,2019,2564753,"$10,301,250 ","($7,736,497)"
Jerami Grant,PF,25,DEN,71,0.42,0.333,0.479,3.5,1.2,12,2019,19047619,"$5,300,000 ","$13,747,619 "
Joe Ingles,PF,32,UTA,72,0.462,0.41,0.5,3.9,5.2,9.8,2019,10863637,"$9,631,250 ","$1,232,387 "
Joel Embiid,C,25,PHI,51,0.477,0.331,0.517,11.6,3,23,2019,29542010,"$17,922,500 ","$11,619,510 "
John Collins,PF,22,ATL,41,0.583,0.401,0.642,10.1,1.5,21.6,2019,4137302,"$28,750,000 ","($24,612,698)"
Jordan Clarkson,SG,27,UTA,71,0.51,0.368,0.433,2.6,1.9,15.2,2019,11500000,"$8,961,250 ","$2,538,750 "
Jordan Poole,SG,20,GSW,57,0.389,0.317,0.56,2.1,2.4,8.8,2019,2063280,"$5,100,000 ","($3,036,720)"
Josh Hart,SF,24,NOP,65,0.426,0.321,0.573,6.5,1.7,10.1,2019,3491159,"$9,631,250 ","($6,140,091)"
Josh Jackson,SF,22,MEM,22,0.401,0.446,0.54,3,1.6,9,2019,4767000,"$9,631,250 ","($4,864,250)"
Josh Okogie,SG,21,MIN,62,0.448,0.5,0.541,4.3,1.6,8.6,2019,2651040,"$8,961,250 ","($6,310,210)"
Josh Richardson,SG,26,PHI,55,0.45,0.39,0.519,3.2,2.9,13.7,2019,10800000,"$8,961,250 ","$1,838,750 "
Jrue Holiday,SG,29,NOP,61,0.455,0.362,0.509,4.8,6.7,19.1,2019,26131111,"$19,262,500 ","$6,868,611 "
Julius Randle,PF,25,NYK,64,0.45,0.297,0.561,9.7,3.1,19.5,2019,18900000,"$19,262,500 ","($362,500)"
Karl-Anthony Towns,C,24,MIN,35,0.508,0.412,0.586,10.8,4.4,26.5,2019,29467800,"$26,750,000 ","$2,717,800 "
Kawhi Leonard,SF,28,LAC,57,0.58,0.35,0.533,7.1,4.9,27.1,2019,34379100,"$28,750,000 ","$5,629,100 "
Kelly Oubre Jr.,SF,24,PHO,56,0.415,0.418,0.53,6.4,1.5,18.7,2019,14375000,"$9,631,250 ","$4,743,750 "
Kemba Walker,PG,29,BOS,56,0.425,0.381,0.476,3.9,4.8,20.4,2019,34379100,"$20,602,500 ","$13,776,600 "
Kentavious Caldwell-Pope,SG,26,LAL,69,0.416,0.359,0.473,2.1,1.6,9.3,2019,12073020,"$5,100,000 ","$6,973,020 "
Kevin Love,PF,31,CLE,56,0.45,0.352,0.537,9.8,3.2,17.6,2019,31300000,"$19,262,500 ","$12,037,500 "
Khris Middleton,SF,28,MIL,62,0.435,0.42,0.567,6.2,4.3,20.9,2019,33051724,"$28,750,000 ","$4,301,724 "
Kyle Anderson,SF,26,MEM,67,0.429,0.414,0.5,4.3,2.4,5.8,2019,9505100,"$9,631,250 ","($126,150)"
Kyle Kuzma,PF,24,LAL,61,0.467,0.358,0.524,4.5,1.3,12.8,2019,3562178,"$5,300,000 ","($1,737,822)"
Kyle Lowry,PG,33,TOR,58,0.495,0.343,0.473,5,7.5,19.4,2019,30000000,"$30,750,000 ","($750,000)"
Larry Nance Jr.,PF,27,CLE,56,0.531,0.231,0.552,7.3,2.2,10.1,2019,11709091,"$19,262,500 ","($7,553,409)"
Lonzo Ball,PG,22,NOP,63,0.617,0.327,0.442,6.1,7,11.8,2019,11003782,"$20,602,500 ","($9,598,718)"
Lou Williams,PG,33,LAC,65,0.453,0.33,0.451,3.1,5.6,18.2,2019,8000000,"$10,301,250 ","($2,301,250)"
Malik Beasley,SG,23,DEN,55,0.436,0.348,0.602,2.7,1.4,11.2,2019,13325895,"$5,100,000 ","$8,225,895 "
Marcus Smart,SG,25,BOS,60,0.375,0.347,0.415,3.8,4.9,12.9,2019,13446428,"$5,100,000 ","$8,346,428 "
Mason Plumlee,C,29,DEN,61,0.5,0.306,0.526,5.2,2.5,7.2,2019,8000000,"$8,961,250 ","($961,250)"
Montrezl Harrell,PF,26,LAC,63,0.425,0.429,0.495,7.1,1.7,18.6,2019,9258000,"$19,262,500 ","($10,004,500)"
T.J. Warren,SF,26,IND,67,0.536,0.403,0.575,4.2,1.5,19.8,2019,11750000,"$19,262,500 ","($7,512,500)"
Terry Rozier,PG,25,CHO,63,0.423,0.376,0.436,4.4,4.1,18,2019,18900000,"$20,602,500 ","($1,702,500)"
Tim Hardaway Jr.,SG,27,DAL,71,0.427,0.294,0.422,3.3,1.9,15.8,2019,18975000,"$5,100,000 ","$13,875,000 "
Zach LaVine,SG,24,CHI,60,0.45,0.38,0.497,4.8,4.2,25.5,2019,19500000,"$17,922,500 ","$1,577,500 "
