Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alfonzo McKinnie,SF,27,CLE,40,1,14.8,1.8,4.3,0.427,0.4,1.6,0.352,1.5,2.7,0.557,0.468,0.6,0.8,0.833,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6
Matthew Dellavedova,PG,29,CLE,57,4,14.4,1.1,3.1,0.354,0.4,1.6,0.452,0.7,1.5,0.488,0.414,0.6,0.6,0.758,0.3,1,1.3,3.2,0.4,0,1,1.4,3.1
Malik Newman,SG,22,CLE,1,0,4,0,2,0,0,1,0.432,0,1,0,0,2,2,0.799,0,0,0,0,0,0,1,0,2
Dean Wade,PF,23,CLE,12,0,5.9,0.8,1.1,0.692,0.2,0.3,0.256,0.6,0.8,0.778,0.769,0,0.1,0.825,0.3,1.3,1.6,0.2,0.2,0.3,0.3,0.7,1.7
Luka Dončić,PG,20,DAL,61,61,33.6,9.5,20.6,0.434,2.8,8.9,0.37,6.7,11.7,0.485,0.55,7,9.2,0.849,1.3,8.1,9.4,8.8,1,0.2,4.3,2.5,28.8
Kristaps Porziņģis,C,24,DAL,57,57,31.8,7,16.4,0.495,2.5,7.1,0.235,4.5,9.3,0.549,0.621,4,5,0.813,1.8,7.7,9.5,1.8,0.7,2,1.6,3.2,20.4
Tim Hardaway Jr.,SG,27,DAL,71,58,29.5,5.4,12.5,0.427,2.9,7.2,0.294,2.5,5.2,0.422,0.524,2.1,2.6,0.909,0.4,2.9,3.3,1.9,0.6,0.1,1,1.8,15.8
Seth Curry,SG,29,DAL,64,25,24.6,4.4,9,0.466,2.3,5,0,2.2,4,0.589,0.575,1.3,1.5,0.77,0.4,1.8,2.3,1.9,0.6,0.1,1,1.8,12.4
Trey Burke,PG,27,DAL,8,1,23.9,4.4,10.3,0.638,2,4.6,0.447,2.4,5.6,0.716,0.659,1.3,1.4,0.754,0.1,1.8,1.9,3.8,1.1,0.1,1.1,1.5,12
Dorian Finney-Smith,PF,26,DAL,71,68,29.9,3.4,7.4,0.461,1.6,4.3,0.392,1.8,3.1,0.605,0.577,1.1,1.5,0.84,2,3.7,5.7,1.6,0.6,0.5,1,2.5,9.5
Dwight Powell,C,28,DAL,40,37,26.5,3.7,5.7,0.466,0.3,1,0,3.4,4.8,0.515,0.522,1.9,2.8,0.556,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4
Maxi Kleber,PF,28,DAL,74,21,25.5,3.2,6.9,0.411,1.6,4.3,0,1.6,2.6,0.434,0.488,1.1,1.3,0.857,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1
Jalen Brunson,PG,23,DAL,57,16,17.9,3.2,6.8,0.462,0.8,2.1,0,2.4,4.7,0.504,0.519,1.1,1.3,0.875,0.4,2,2.4,3.3,0.4,0.1,1.2,1.3,8.2
J.J. Barea,PG,35,DAL,29,6,15.5,2.9,7.1,0.573,1.1,2.9,0.314,1.8,4.2,0.603,0.583,0.7,0.8,1,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7
Delon Wright,PG,27,DAL,73,5,21.5,2.6,5.6,0.396,0.6,1.7,0.346,2,3.9,0.489,0.466,1.1,1.4,0.6,1,2.9,3.8,3.3,1.2,0.3,1,1.3,6.9
Boban Marjanović,C,31,DAL,44,5,9.6,2.8,4.8,0.689,0.1,0.4,0.375,2.7,4.4,0.705,0.689,1,1.3,0.8,1.5,3,4.5,0.5,0.2,0.2,0.7,1.3,6.6
Justin Jackson,PF,24,DAL,65,3,16.1,2.1,5.2,0.488,0.7,2.5,0.389,1.3,2.7,0.543,0.616,0.6,0.8,0.817,0.4,2,2.4,0.8,0.2,0.2,0.2,1.1,5.5
Willie Cauley-Stein,C,26,DAL,13,2,12.1,2.4,3.5,0.373,0,0.1,0.435,2.4,3.4,0.25,0.542,0.4,0.7,0.881,1,3.6,4.6,0.8,0.3,0.8,0.4,1.5,5.2
Courtney Lee,SG,34,DAL,24,9,14.4,1.7,3.4,0.333,0.9,2,0.333,0.8,1.5,0.429,0.333,0.3,0.3,0.767,0.3,1,1.3,0.5,0.8,0.3,0.5,1.4,4.5
Ryan Broekhoff,SF,29,DAL,17,1,10.6,1.3,3.5,0.286,1.2,3,0.422,0.1,0.5,0.364,0.286,0.4,0.5,0.75,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
Josh Reaves,SF,22,DAL,4,0,7,0.8,2.3,0.308,0,0.5,0.378,0.8,1.8,0.4,0.308,0.5,0.5,0.816,0.3,0.5,0.8,0.8,0,0,0,1.3,2
Antonius Cleveland,SG,25,DAL,11,0,4.2,0.4,1.3,0.528,0,0.3,0.36,0.4,1,0.594,0.565,0.3,0.5,0.815,0.2,0.5,0.6,0.1,0.1,0.3,0.2,0.7,1
Michael Kidd-Gilchrist,PF,26,DAL,13,0,9.3,0.3,1,0.456,0,0.2,0,0.3,0.8,0.519,0.519,0.3,0.4,0.833,0.4,2.1,2.5,0.3,0.2,0.2,0.7,1.5,0.9
Nikola Jokić,C,24,DEN,73,73,32,7.7,14.7,0.45,1.1,3.5,0.347,6.6,11.2,0.498,0.523,3.4,4.1,0.843,2.3,7.5,9.7,7,1.2,0.6,3.1,3,19.9
Jamal Murray,PG,22,DEN,59,59,32.3,6.9,15.2,0.478,1.9,5.5,0.444,5,9.7,0.537,0.555,2.8,3.1,0.868,0.8,3.2,4,4.8,1.1,0.3,2.2,1.7,18.5
Will Barton,SF,29,DEN,58,58,33,5.7,12.7,0.482,1.9,5,0.326,3.9,7.8,0.5,0.543,1.8,2.3,0.535,1.3,5,6.3,3.7,1.1,0.5,1.5,2.1,15.1
Jerami Grant,PF,25,DEN,71,24,26.6,4.3,8.9,0.42,1.4,3.5,0.333,2.9,5.4,0.479,0.487,2.1,2.8,0.724,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12
Paul Millsap,PF,34,DEN,51,48,24.3,4.1,8.6,0.509,1.1,2.4,0.3,3.1,6.2,0.564,0.59,2.3,2.8,0.8,1.9,3.8,5.7,1.6,0.9,0.6,1.4,2.9,11.6
Gary Harris,SG,25,DEN,56,55,31.8,3.9,9.3,0.459,1.3,3.8,0.25,2.6,5.5,0.495,0.517,1.3,1.6,0.611,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4
Michael Porter Jr.,SF,21,DEN,55,8,16.4,3.5,7,0.389,1.1,2.7,0.5,2.4,4.3,0.421,0.485,1.1,1.3,0.8,1.2,3.5,4.7,0.8,0.5,0.5,0.9,1.8,9.3
Monte Morris,PG,24,DEN,73,12,22.4,3.6,7.8,0.615,0.9,2.4,1,2.7,5.4,0.625,0.615,1,1.2,0.64,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1,9
Malik Beasley,SG,23,DEN,41,0,18.2,2.9,7.3,0.414,1.4,3.9,0.167,1.4,3.4,0.444,0.468,0.8,0.9,0.75,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
Mason Plumlee,C,29,DEN,61,1,17.3,2.9,4.7,0.5,0,0.1,0.306,2.9,4.6,0.526,0.571,1.4,2.5,1,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2
