Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Hartenstein,C,21,HOU,23,2,11.6,1.9,2.9,0.5,0,0.2,0.394,1.9,2.7,0.5,0.55,0.8,1.2,0.836,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
Gary Clark,PF,25,HOU,18,0,11.8,1.3,3.3,0.286,1,2.8,0.405,0.3,0.4,0.595,0.357,0.3,0.4,0.751,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9
Bruno Caboclo,C,24,HOU,8,0,6.5,1.3,2.5,0.407,0.3,1,0.294,1,1.5,0.5,0.489,0.8,0.8,0.828,0.8,1.3,2,0.3,0.6,0.6,0.8,1,3.5
Thabo Sefolosha,PF,35,HOU,41,0,10.6,0.9,2.2,0.4,0.4,1.3,0.154,0.5,0.9,0.778,0.4,0.1,0.2,0.791,0.5,1.8,2.3,0.6,0.6,0.3,0.4,1,2.2
Michael Frazier,SG,25,HOU,13,0,11.2,0.5,2.2,0.778,0.3,1.8,0.19,0.2,0.5,0.575,0.778,0.7,1.1,0.833,0.1,0.7,0.8,0.2,0.2,0,0.4,1.7,2.1
Luc Mbah a Moute,PF,33,HOU,3,0,8.3,0.7,1.7,0,0,0.7,0.278,0.7,1,0.565,0,0.3,0.7,0.552,0.3,0.3,0.7,0,0.7,0,0.3,0,1.7
T.J. Warren,SF,26,IND,67,67,32.9,8,14.9,0.438,1.4,3.4,0,6.6,11.5,0.508,0.489,2.5,3,0.438,1,3.2,4.2,1.5,1.2,0.5,1.3,2.8,19.8
Domantas Sabonis,PF,23,IND,62,62,34.8,7.4,13.7,0.394,0.3,1.1,0.378,7.1,12.6,0.54,0.461,3.5,4.8,0.7,3,9.4,12.4,5,0.8,0.5,2.7,3.1,18.5
Malcolm Brogdon,PG,27,IND,54,54,30.9,6,13.8,0.451,1.4,4.3,0.412,4.6,9.5,0.549,0.506,3.1,3.4,0.886,0.9,4,4.9,7.1,0.6,0.2,2.4,1.8,16.5
Victor Oladipo,SG,27,IND,19,16,27.8,5.1,12.9,0.457,1.7,5.5,0,3.4,7.5,0.427,0.53,2.5,3.1,0.876,0.5,3.5,3.9,2.9,0.9,0.2,2.5,1.9,14.5
Jeremy Lamb,SG,27,IND,46,42,28.1,4.7,10.4,0.488,1.2,3.4,0.352,3.5,7,0.477,0.605,2,2.4,0.658,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,12.5
Myles Turner,C,23,IND,62,62,29.5,4.3,9.5,0.414,1.4,4,0.31,2.9,5.4,0.525,0.491,2,2.7,0.861,1.4,5.2,6.6,1.2,0.7,2.1,1.4,2.7,12.1
Doug McDermott,PF,28,IND,69,0,19.9,3.9,7.9,0.428,1.9,4.3,0.413,2,3.7,0.528,0.566,0.7,0.8,0.818,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,10.3
Aaron Holiday,PG,23,IND,66,33,24.5,3.5,8.5,0.516,1.3,3.3,0.375,2.2,5.2,0.647,0.522,1.1,1.3,0.905,0.3,2,2.4,3.4,0.8,0.2,1.3,1.8,9.5
Justin Holiday,SF,30,IND,73,6,25,2.8,6.7,0.43,1.8,4.5,0,1,2.1,0.574,0.479,0.7,0.9,0.855,0.4,2.8,3.3,1.3,1.2,0.6,0.6,1.9,8.3
T.J. McConnell,PG,27,IND,71,3,18.7,3,5.8,0.591,0.1,0.2,0.388,2.9,5.5,0.456,0.6,0.5,0.6,0.747,0.5,2.1,2.7,5,0.8,0.2,1.4,1,6.5
Edmond Sumner,SG,24,IND,31,3,14.4,2,4.6,0.467,0.5,1.7,0.387,1.5,2.9,0.8,0.493,0.5,0.9,0.66,0.4,1.1,1.5,1.8,0.5,0.3,0.7,1.4,4.9
JaKarr Sampson,PF,26,IND,34,12,13.9,2,3.4,0.419,0.1,0.4,0.37,1.9,3,0.429,0.448,0.5,0.8,0.75,0.6,2,2.6,0.6,0.5,0.4,0.4,1.9,4.6
Goga Bitadze,C,20,IND,54,2,8.7,1.3,2.8,0.353,0.1,0.8,0.39,1.1,2,0.375,0.412,0.4,0.6,0.571,0.5,1.5,2,0.4,0.2,0.7,0.5,1.2,3.2
T.J. Leaf,PF,22,IND,28,1,7.9,1.3,3.1,0.414,0.2,0.6,0.45,1.1,2.4,0.506,0.466,0.3,0.6,0.814,0.8,1.7,2.5,0.3,0.4,0.1,0.3,0.8,3
Alize Johnson,PF,23,IND,17,1,6.9,0.7,1.7,0.47,0.2,0.5,0.316,0.5,1.2,0.593,0.524,0.4,0.6,0.559,0.9,1.9,2.8,0.4,0.2,0.1,0.4,0.7,2
Kawhi Leonard,SF,28,LAC,57,57,32.4,9.3,19.9,0.58,2.2,5.7,0.35,7.2,14.2,0.533,0.58,6.2,7.1,0.579,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2,27.1
Paul George,SG,29,LAC,48,48,29.6,7.1,16.3,0.418,3.3,7.9,1,3.9,8.4,0.492,0.477,4,4.5,0.75,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5
Montrezl Harrell,C,26,LAC,63,2,27.8,7.5,12.9,0.425,0,0.3,0.429,7.5,12.6,0.495,0.5,3.7,5.6,0.667,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6
Lou Williams,PG,33,LAC,65,8,28.7,6,14.4,0.453,1.7,4.8,0.33,4.3,9.6,0.616,0.555,4.5,5.2,0.714,0.5,2.6,3.1,5.6,0.7,0.2,2.8,1.2,18.2
Marcus Morris,PF,30,LAC,19,19,28.9,3.9,9.2,0.404,1.4,4.4,0.348,2.5,4.7,0.496,0.546,0.9,1.2,0.778,0.6,3.5,4.1,1.4,0.7,0.7,1.3,2.7,10.1
Reggie Jackson,SG,29,LAC,17,6,21.3,3.4,7.5,0.613,1.5,3.7,0.316,1.9,3.8,0.518,0.613,1.1,1.2,0.846,0.4,2.6,3,3.2,0.3,0.2,1.6,2.2,9.5
Landry Shamet,SG,22,LAC,53,30,27.4,3,7.4,0.431,2.1,5.6,0.233,0.9,1.8,0.59,0.548,1.2,1.4,0.693,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7,9.3
Ivica Zubac,C,22,LAC,72,70,18.4,3.3,5.3,0.429,0,0,0.385,3.3,5.3,0.459,0.56,1.7,2.3,0.735,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3
Patrick Beverley,PG,31,LAC,51,50,26.3,2.9,6.7,0.516,1.6,4,0.364,1.3,2.6,0.417,0.578,0.6,0.9,0.875,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9
JaMychal Green,PF,29,LAC,63,1,20.7,2.4,5.6,0.408,1.5,3.8,0.367,0.9,1.8,0.522,0.552,0.6,0.8,0.775,1.2,4.9,6.2,0.8,0.5,0.4,0.9,2.8,6.8
Maurice Harkless,PF,26,LAC,50,38,22.8,2.2,4.3,0.438,0.5,1.5,0.6,1.7,2.9,0.486,0.578,0.5,0.8,0.833,0.9,3.1,4,1,1,0.6,0.9,2.4,5.5
Patrick Patterson,PF,30,LAC,59,18,13.2,1.6,3.9,0.398,1.1,2.9,0.328,0.5,1,0.391,0.464,0.6,0.7,0.688,0.6,2,2.6,0.7,0.1,0.1,0.4,0.9,4.9
Mfiondu Kabengele,C,22,LAC,12,0,5.3,1.2,2.7,0.426,0.8,1.7,0.5,0.4,1,0.5,0.481,0.4,0.4,0.514,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5
Rodney McGruder,SG,28,LAC,56,4,15.6,1.3,3.2,0.338,0.4,1.6,0.308,0.9,1.6,0.508,0.408,0.3,0.6,0.659,0.5,2.2,2.7,0.6,0.5,0.1,0.4,1.3,3.3
Amir Coffey,SG,22,LAC,18,1,8.8,1.3,3,0.5,0.3,1.1,0.333,0.9,1.9,0.714,0.5,0.3,0.6,0.646,0.2,0.7,0.9,0.8,0.3,0.1,0.4,1.1,3.2
Jerome Robinson,SG,22,LAC,42,1,11.3,1.1,3.2,0.468,0.5,1.6,0.333,0.6,1.6,0.533,0.513,0.3,0.5,0.5,0.1,1.3,1.4,1.1,0.3,0.2,0.6,1.3,2.9
Terance Mann,SF,23,LAC,41,6,8.8,0.9,1.9,0.472,0.2,0.5,0.357,0.7,1.4,0.564,0.597,0.4,0.7,0.833,0.2,1.1,1.3,1.3,0.3,0.1,0.4,1.1,2.4
Johnathan Motley,PF,24,LAC,13,0,3.2,0.8,1.2,0.503,0.1,0.1,0.091,0.8,1.1,0.518,0.536,0.4,0.5,0.786,0.2,0.5,0.8,0.6,0.2,0,0.4,0.5,2.2
Derrick Walton,PG,24,LAC,23,1,9.7,0.7,1.6,0.493,0.4,0.9,0.429,0.3,0.7,0.558,0.55,0.3,0.4,0.625,0.1,0.6,0.7,1,0.2,0,0.2,0.8,2.2
Anthony Davis,PF,26,LAL,62,62,34.4,8.9,17.7,0.436,1.2,3.5,0.335,7.7,14.2,0.541,0.5,7.2,8.5,1,2.3,7,9.3,3.2,1.5,2.3,2.5,2.5,26.1
LeBron James,PG,35,LAL,67,67,34.6,9.6,19.4,0.425,2.2,6.3,0.394,7.4,13.1,0.51,0.473,3.9,5.7,1,1,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3
Kyle Kuzma,PF,24,LAL,61,9,25,4.8,11,0.467,1.4,4.5,0.358,3.4,6.5,0.524,0.558,1.9,2.5,0.5,0.9,3.6,4.5,1.3,0.5,0.4,1.5,2.1,12.8
Dion Waiters,SG,28,LAL,7,0,23.6,4.4,10.4,0.444,1,4.3,0.352,3.4,6.1,0.732,0.526,2,2.3,0.776,0.3,1.6,1.9,2.4,0.6,0.6,1.9,2.3,11.9
Kentavious Caldwell-Pope,SG,26,LAL,69,26,25.5,3.4,7.3,0.416,1.3,3.5,0.359,2.1,3.9,0.473,0.542,1.1,1.5,0.747,0.6,1.5,2.1,1.6,0.8,0.2,0.9,1.9,9.3
Avery Bradley,SG,29,LAL,49,44,24.2,3.5,7.8,0.729,1.3,3.5,0.293,2.2,4.3,0.64,0.735,0.4,0.5,0.808,0.4,2,2.3,1.3,0.9,0.1,1,2.2,8.6
Danny Green,SG,32,LAL,68,68,24.8,2.9,7,0.418,1.8,4.8,0.319,1.1,2.2,0.5,0.48,0.5,0.7,0.74,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2,8
Dwight Howard,C,34,LAL,69,2,18.9,2.9,4,0.637,0,0.1,0.404,2.9,3.9,0.588,0.642,1.6,3.1,0.759,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5
Rajon Rondo,PG,33,LAL,48,3,20.5,2.9,6.8,0.5,0.9,2.6,0.286,2,4.2,0.468,0.5,0.6,0.9,0.789,0.5,2.5,3,5,0.8,0,1.9,1.2,7.1
JaVale McGee,C,32,LAL,68,68,16.6,2.9,4.5,0.467,0,0.1,0.379,2.8,4.4,0.5,0.533,0.8,1.2,0.7,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,6.6
Talen Horton-Tucker,SG,19,LAL,6,1,13.5,2.3,5,0.406,0.7,2.2,0.667,1.7,2.8,0.478,0.5,0.3,0.7,0.769,0.3,0.8,1.2,1,1.3,0.2,1,1.7,5.7
Alex Caruso,PG,25,LAL,64,2,18.4,1.9,4.5,0.425,0.6,1.9,0.282,1.3,2.7,0.545,0.498,1.1,1.5,0.741,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5
Markieff Morris,PF,30,LAL,14,1,14.2,2,4.9,0.392,0.9,2.8,0.381,1.1,2.1,0.333,0.519,0.4,0.4,0.738,1.1,2.1,3.2,0.6,0.4,0.4,0.4,2.1,5.3
Quinn Cook,PG,26,LAL,44,1,11.5,2.1,4.9,0.318,0.7,1.9,0.667,1.4,2.9,1,0.341,0.3,0.3,1,0.3,0.9,1.2,1.1,0.3,0,0.8,0.6,5.1
Troy Daniels,SG,28,LAL,41,0,11.1,1.5,3.9,0.4,1,2.7,0.415,0.5,1.1,0,0.55,0.2,0.4,0.667,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2
J.R. Smith,SG,34,LAL,6,0,13.2,1.2,3.7,1,0.2,1.8,0.301,1,1.8,0.511,1,0.3,0.3,0.684,0,0.8,0.8,0.5,0.2,0,0.7,0.8,2.8
Jared Dudley,PF,34,LAL,45,1,8.1,0.5,1.3,0,0.4,0.9,0.16,0.1,0.4,0.54,0,0,0,1,0.1,1,1.2,0.6,0.3,0.1,0.2,0.9,1.5
Ja Morant,PG,20,MEM,67,67,31,6.7,14,0.407,0.9,2.7,0,5.8,11.3,0.658,0.476,3.6,4.6,0.667,0.8,3.1,3.9,7.3,0.9,0.3,3.3,1.6,17.8
Jaren Jackson Jr.,C,20,MEM,57,57,28.5,6.2,13.2,0.585,2.5,6.5,0.244,3.6,6.8,0.519,0.606,2.4,3.3,0.5,1,3.6,4.6,1.4,0.7,1.6,1.7,4.1,17.4
Dillon Brooks,SG,24,MEM,73,73,28.9,6,14.6,0.618,2,5.6,0.367,3.9,9,0.54,0.642,2.2,2.8,0.375,0.9,2.4,3.3,2.1,0.9,0.4,1.7,3.8,16.2
Jonas Valančiūnas,C,27,MEM,70,70,26.4,6.2,10.6,0.368,0.5,1.3,0.143,5.7,9.3,0.545,0.466,2.1,2.9,1,3,8.2,11.3,1.9,0.4,1.1,1.8,2.6,14.9
Brandon Clarke,PF,23,MEM,58,4,22.4,5.1,8.3,0.44,0.4,1.1,0.35,4.7,7.2,0.464,0.513,1.5,1.9,0.834,1.6,4.4,5.9,1.4,0.6,0.8,0.9,1.7,12.1
Jae Crowder,SF,29,MEM,45,45,29.4,3.3,8.9,0.466,1.7,5.9,0.389,1.5,3,0.492,0.58,1.7,2.1,0.776,0.9,5.3,6.2,2.8,1,0.3,1.2,1.9,9.9
Josh Jackson,SF,22,MEM,22,0,17.3,3.2,7.2,0.401,1,3.3,0.446,2.1,4,0.618,0.451,1.6,2.3,0.691,0.5,2.5,3,1.6,0.8,0.4,1.3,1.8,9
Grayson Allen,SG,24,MEM,38,0,18.9,3.1,6.6,0.459,1.5,3.7,0.445,1.6,2.9,0.333,0.514,1,1.2,0.85,0.2,2,2.2,1.4,0.3,0.1,0.9,1.4,8.7
De'Anthony Melton,PG,21,MEM,60,8,19.5,2.7,6.7,0.483,0.7,2.3,0.222,2,4.4,0.541,0.529,1.6,2,0.87,0.7,3,3.7,2.9,1.3,0.3,1.4,1.8,7.6
Tyus Jones,PG,23,MEM,65,6,19,3,6.6,0.444,0.7,1.9,0.471,2.3,4.7,0.465,0.556,0.7,0.9,0.931,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4
Gorgui Dieng,C,30,MEM,17,0,18.7,2.5,5.1,0.474,0.5,1.9,0.28,2,3.2,0.25,0.511,1.8,2.5,0.733,1.1,4.7,5.8,0.9,0.8,1,0.9,2.1,7.2
Dusty Hannahs,SG,26,MEM,2,0,6.5,2,4.5,0.412,1,1.5,0.406,1,3,0.286,0.532,1,1,0.667,0,0.5,0.5,0,0,0,0,0.5,6
Kyle Anderson,SF,26,MEM,67,28,19.9,2.3,4.9,0.429,0.4,1.3,0.414,2,3.7,0.5,0.571,0.8,1.2,0,0.9,3.4,4.3,2.4,0.8,0.6,1,1.7,5.8
Solomon Hill,PF,28,MEM,48,3,18.8,2,4.9,0.396,1.2,3.1,0.356,0.8,1.8,0.545,0.573,0.5,0.8,0.772,0.5,2.5,3,2,0.6,0.1,0.8,1.5,5.7
Jordan Bell,C,25,MEM,2,0,10.5,1.5,3.5,0.395,1,1.5,0.298,0.5,2,0.704,0.475,1,1,0.86,1,0.5,1.5,1,0.5,0,1.5,1,5
Anthony Tolliver,PF,34,MEM,13,4,18.2,1.5,3.7,0.406,1.3,3.2,0.292,0.2,0.5,0.462,0.435,0.5,0.6,0.643,0.4,2.2,2.5,0.8,0.5,0.1,0.7,1.1,4.8
Marko Guduric,SG,24,MEM,44,0,11,1.4,3.6,0.649,0.6,1.9,0.333,0.8,1.7,0.333,0.716,0.5,0.6,0.571,0.3,1.3,1.7,1,0.3,0.2,0.8,0.8,3.9
Bruno Caboclo,C,24,MEM,22,0,8.7,1.3,3.1,0.441,0.2,1.1,0,1.1,2,0.495,0.485,0.1,0.1,0.4,0.8,1.2,2,0.5,0.5,0.5,0.3,1,2.8
John Konchar,SG,23,MEM,19,0,9.5,1.3,1.9,0.143,0.3,0.5,0.222,1,1.4,0.505,0.143,0.1,0.1,0.875,0.9,1.5,2.5,1.2,0.4,0.2,0.4,0.4,2.8
Yuta Watanabe,SF,25,MEM,18,0,5.8,0.8,1.9,0.455,0.2,0.4,0,0.7,1.4,0.564,0.474,0.2,0.4,0.75,0.4,0.7,1.1,0.3,0.3,0.1,0.1,0.5,2
Jarrod Uthoff,PF,26,MEM,4,0,3.5,0.3,1.8,0.441,0,1,0.5,0.3,0.8,0.505,0.526,0.5,0.5,0.673,0.3,0,0.3,0,0.3,0,0,0.3,1
Jimmy Butler,SF,30,MIA,58,58,33.8,5.9,13.1,0.557,0.5,2.1,0.304,5.4,11,0.462,0.558,7.6,9.1,0.5,1.8,4.8,6.7,6,1.8,0.6,2.2,1.4,19.9
Goran Dragić,PG,33,MIA,59,3,28.2,5.4,12.3,0.439,2.1,5.7,0.415,3.3,6.5,0.654,0.514,3.2,4.2,0.633,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2
Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11,0.428,0,0.2,0.344,6.1,10.8,0.611,0.52,3.7,5.3,0.916,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9
Kendrick Nunn,PG,24,MIA,67,67,29.3,6,13.6,0.47,2,5.8,0.314,3.9,7.8,0.431,0.667,1.3,1.5,0.79,0.3,2.4,2.7,3.3,0.8,0.2,1.7,2.3,15.3
Tyler Herro,SG,20,MIA,55,8,27.4,4.9,11.5,0.482,2.1,5.4,0.46,2.8,6.1,0.222,0.655,1.6,1.8,0.836,0.3,3.8,4.1,2.2,0.6,0.2,1.6,1.4,13.5
Duncan Robinson,SG,25,MIA,73,68,29.7,4.4,9.4,0.388,3.7,8.3,0.336,0.7,1.1,0.677,0.411,0.9,1,0.842,0.1,3,3.2,1.4,0.5,0.3,1,2.6,13.5
Jae Crowder,PF,29,MIA,20,8,27.7,4,8.2,0.385,2.9,6.4,0.364,1.1,1.8,0.543,0.538,1.1,1.5,0.733,0.6,4.8,5.4,1.8,1.3,0.5,0.8,2.9,11.9
Justise Winslow,SG,23,MIA,11,5,32,4.5,11.7,0.527,0.5,2.5,0.286,4,9.3,0.623,0.58,1.6,2.5,0.765,1.5,5.2,6.6,4,0.6,0.5,2.2,3.5,11.3
Dion Waiters,SG,28,MIA,3,0,14,3.3,8.7,0.462,2.7,5.7,0.418,0.7,3,0.548,0.582,0,0.3,0.588,0,3.7,3.7,1,0,0.7,1,1.7,9.3
Derrick Jones Jr.,SF,22,MIA,59,16,23.3,3.1,5.9,0.509,0.6,2.2,0.365,2.5,3.7,0.585,0.622,1.6,2.1,0.854,1.1,2.8,3.9,1.1,1,0.6,0.5,2.2,8.5
Kelly Olynyk,C,28,MIA,67,9,19.4,2.7,5.9,0.448,1.4,3.5,0.331,1.3,2.4,0.333,0.54,1.3,1.5,0.828,0.7,3.9,4.6,1.7,0.7,0.3,1.1,2.6,8.2
Meyers Leonard,C,27,MIA,51,49,20.3,2.3,4.6,0.432,1,2.5,0.333,1.3,2.1,0.375,0.511,0.4,0.5,0.775,0.6,4.5,5.1,1.1,0.3,0.3,0.8,2.1,6.1
James Johnson,PF,32,MIA,18,0,15.6,2.2,4.8,0.311,0.9,2.5,0.324,1.3,2.3,0.64,0.389,0.4,0.8,0.528,0.4,2.4,2.9,1.2,0.3,0.7,0.8,1.9,5.7
Andre Iguodala,SF,36,MIA,21,0,19.9,1.8,4.2,0.364,0.7,2.2,0.308,1.1,2,0.2,0.409,0.3,0.7,0.8,0.8,2.9,3.7,2.4,0.7,1,1.2,1.7,4.6
Solomon Hill,PF,28,MIA,11,1,17,1.3,4.1,0.615,0.6,2.2,0.444,0.6,1.9,0.75,0.615,1.3,1.5,0.857,0.5,1.5,1.9,0.9,1.1,0.5,1,1.1,4.5
Udonis Haslem,C,39,MIA,4,1,11,1,2.8,0.216,0.3,0.8,0.247,0.8,2,0.5,0.297,0.8,1,0.667,0.3,3.8,4,0.3,0,0,0.3,1.5,3
Chris Silva,PF,23,MIA,44,0,7.9,1.1,1.8,0.6,0,0.1,0,1.1,1.7,0,0.6,0.8,1.3,0.611,1.4,1.5,2.9,0.5,0.2,0.5,0.7,1.9,3
KZ Okpala,PF,20,MIA,5,0,5.2,0.6,1,0.333,0,0.2,0.331,0.6,0.8,0.546,0.5,0.2,0.4,0.796,0.2,0.8,1,0.2,0.4,0.2,0.2,0.4,1.4
Giannis Antetokounmpo,PF,25,MIL,63,63,30.4,10.9,19.7,0.475,1.4,4.7,0.379,9.5,15,0.565,0.528,6.3,10,0.75,2.2,11.4,13.6,5.6,1,1,3.7,3.1,29.5
Khris Middleton,SF,28,MIL,62,59,29.9,7.6,15.3,0.435,2.4,5.7,0.42,5.2,9.6,0.567,0.511,3.4,3.7,0.868,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9
Eric Bledsoe,PG,30,MIL,61,61,27,5.5,11.5,0.516,1.2,3.5,0.346,4.3,8,0.472,0.624,2.8,3.5,0.609,0.7,3.9,4.6,5.4,0.9,0.4,2.4,2.1,14.9
Brook Lopez,C,31,MIL,68,67,26.7,4.3,9.9,0.455,1.5,4.8,0.37,2.8,5.1,0.567,0.536,1.9,2.2,0.798,0.9,3.7,4.6,1.5,0.7,2.4,1,2.4,12
George Hill,PG,33,MIL,59,2,21.5,3.3,6.4,0.396,1.4,3,0.296,1.9,3.4,0.482,0.524,1.4,1.7,0.676,0.8,2.2,3,3.1,0.8,0.1,1,1.4,9.4
Donte DiVincenzo,SG,23,MIL,66,24,23,3.5,7.7,0.451,1.3,3.7,0.299,2.3,4,0.545,0.51,1,1.3,0.818,1,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2
Wesley Matthews,SG,33,MIL,67,67,24.4,2.5,6.3,0.43,1.6,4.4,0.333,0.9,1.9,0.607,0.599,0.8,1,0.462,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4
Frank Mason III,PG,25,MIL,9,0,13.1,2.6,5.7,0.466,0.7,2.3,0.33,1.9,3.3,0.577,0.546,1.1,1.9,0.75,0.6,1.6,2.1,3.2,0.6,0.1,1.2,1.2,6.9
Kyle Korver,SF,38,MIL,58,1,16.6,2.2,5.1,0.455,1.7,4.1,0.266,0.5,1,0.425,0.547,0.6,0.7,0.698,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.3,6.7
Ersan İlyasova,PF,32,MIL,63,8,15.7,2.3,5,0.492,0.8,2.2,0.382,1.5,2.8,0.722,0.55,1.1,1.4,0.796,1,3.8,4.8,0.8,0.4,0.3,0.5,1.5,6.6
Pat Connaughton,SG,27,MIL,67,4,18.6,2,4.5,0.371,0.8,2.5,0.383,1.2,2,0.5,0.457,0.5,0.6,0.667,0.9,3.3,4.2,1.6,0.4,0.5,0.8,1,5.4
Robin Lopez,C,31,MIL,66,5,14.5,2.2,4.5,0.439,0.5,1.6,0.33,1.7,2.9,0.576,0.544,0.4,0.8,0.797,0.8,1.6,2.4,0.7,0.2,0.7,1,1.5,5.4
Sterling Brown,SF,24,MIL,52,1,14.8,1.8,4.9,0.476,0.8,2.6,0.26,1,2.3,0.632,0.571,0.6,0.8,0.708,0.6,2.9,3.5,1,0.6,0.1,0.8,1,5.1
Marvin Williams,PF,33,MIL,17,0,18.9,1.5,3.4,0.394,0.7,2.3,0.241,0.8,1.1,0.586,0.462,0.4,0.4,0.968,0.9,3.5,4.4,1.1,0.6,0.5,0.5,1.9,4
Dragan Bender,C,22,MIL,7,0,13,1.4,3,0.5,0.6,1.3,0.143,0.9,1.7,0.505,0.5,0.3,0.4,0.73,0,2.9,2.9,1.3,0,0.7,0.7,2.3,3.7
D.J. Wilson,PF,23,MIL,37,1,9.8,1.4,3.6,0.508,0.5,2,0.115,0.9,1.6,0.485,0.6,0.3,0.5,0.821,0.3,2.2,2.5,0.7,0.1,0.1,0.5,0.9,3.6
Thanasis Antetokounmpo,SF,27,MIL,20,2,6.5,1.2,2.4,0.444,0,0.5,0.231,1.2,1.9,0.517,0.502,0.4,0.9,0.941,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8
Karl-Anthony Towns,C,24,MIN,35,35,33.9,9,17.8,0.412,3.3,7.9,0.222,5.8,9.9,0.473,0.502,5.1,6.5,0.5,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5
Andrew Wiggins,SF,24,MIN,42,42,34.6,8.4,18.8,0.472,2.2,6.5,0,6.2,12.3,0.485,0.577,3.5,4.9,0.586,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4
D'Angelo Russell,PG,23,MIN,12,12,32.7,7.3,17.6,0.448,3.2,9.2,0,4.1,8.4,0.587,0.498,4,4.6,1,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7
Malik Beasley,SG,23,MIN,14,14,33.1,7.9,16.6,0.453,3.5,8.2,0.391,4.4,8.4,0.573,0.558,1.5,2,0.851,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9,20.7
Jeff Teague,PG,31,MIN,34,13,27.8,4.3,9.5,0.435,1,2.6,0.429,3.3,7,0.54,0.544,3.7,4.2,0.64,0.4,2.1,2.6,6.1,0.7,0.4,2.2,2.1,13.2
Juan Hernangómez,PF,24,MIN,14,14,29.4,4.4,9.8,0.5,2.1,4.9,0.353,2.4,4.9,0.471,0.566,2,3.3,0.709,1.4,5.9,7.3,1.3,1,0.3,1,2.5,12.9
Robert Covington,PF,29,MIN,48,47,29.4,4.5,10.3,0.403,2.3,6.5,0.453,2.3,3.8,0.533,0.486,1.6,2,0.892,0.8,5.2,6,1.2,1.7,0.9,1.5,3.1,12.8
James Johnson,C,32,MIN,14,1,24.1,4.6,9.1,0.404,1.2,3.3,0.375,3.4,5.9,0.466,0.462,1.6,2.4,0.566,1.2,3.5,4.7,3.8,1.4,1.4,2.4,3.3,12
Shabazz Napier,PG,28,MIN,36,22,23.8,3.2,7.9,0.453,1.3,4.4,0.342,1.9,3.4,0.529,0.52,2,2.4,0.739,0.5,2.6,3.1,5.2,1.1,0.2,2.1,1.7,9.6
Jarrett Culver,SG,20,MIN,63,35,23.9,3.7,9,0.412,1,3.5,0.143,2.6,5.5,0.569,0.477,0.9,1.9,0.563,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2,9.2
Jake Layman,SF,25,MIN,23,2,22,3.5,7.8,0.427,1,3.1,0.377,2.5,4.7,0.497,0.479,1,1.4,0.689,0.7,1.7,2.5,0.7,0.7,0.4,1,2,9.1
Naz Reid,C,20,MIN,30,11,16.5,3.3,8.1,0.489,1.1,3.2,0.333,2.3,4.9,0.5,0.57,1.2,1.8,0.645,1.1,3,4.1,1.2,0.6,0.7,0.7,2.8,9
Josh Okogie,SG,21,MIN,62,28,25,2.7,6.4,0.448,0.7,2.5,0.5,2.1,3.9,0.541,0.531,2.5,3.1,0.5,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6
Jordan McLaughlin,PG,23,MIN,30,2,19.7,2.9,5.9,0.422,1,2.5,0.25,1.9,3.4,0.457,0.498,0.9,1.3,0.647,0.2,1.4,1.6,4.2,1.1,0.1,1,1,7.6
